FEN,BestMove,PieceCount,ThreatCount,PawnStructure,Score
1nbqkbn1/r2pp2r/1p4p1/p1p1BpNp/8/PPN4P/2PPPPP1/R2QKB1R,e5b8,32,1,0,875
1Bbqk1n1/r2pp2r/1p4pb/p1p2pNp/8/PPN4P/2PPPPP1/R2QKB1R,g5h7,31,1,0,925
1Bbq2n1/r2ppk1N/1p4pb/p1p2p1p/8/PPN4P/2PPPPP1/R2QKB1R,h7g5,30,0,0,1085
1Bbq2n1/r2pp3/1p3kpb/p1p2pNp/8/PPN4P/2PPPPP1/R2QKB1R,g5h7,30,2,0,1355
1Bbq2n1/r2pp2N/1p2k1pb/p1p2p1p/8/PPN4P/2PPPPP1/R2QKB1R,h7f8,30,1,0,1115
1Bbq1Nn1/r2pp3/1p3kpb/p1p2p1p/8/PPN4P/2PPPPP1/R2QKB1R,c3d5,30,2,0,1375
1Bbq1Nn1/r2pp3/1p4pb/p1pN1pkp/8/PP5P/2PPPPP1/R2QKB1R,h3h4,30,1,0,1430
1Bbq1Nn1/r2pp3/1p4pb/p1pN1p1p/6kP/PP6/2PPPPP1/R2QKB1R,f2f3,30,2,1,9999
r1bqkbnr/p1p1ppp1/n6p/1p1p4/4P3/P6N/RPPP1PPP/1NBQKB1R,d2d3,32,1,0,45
r1bqkbnr/p1p1p1p1/n4p1p/1p1p4/4P3/P2P3N/RPP2PPP/1NBQKB1R,d1h5,32,1,0,175
r1bqkbnr/p1p1p3/n4ppp/1p1p3Q/4P3/P2P3N/RPP2PPP/1NB1KB1R,h5f3,32,1,1,90
r1bqkbnr/p3p3/n1p2ppp/1p1p4/4P3/P2P1Q1N/RPP2PPP/1NB1KB1R,c1f4,32,1,0,130
rnbqkbnr/p3p3/2p2ppp/1p1p4/4PB2/P2P1Q1N/RPP2PPP/1N2KB1R,e4d5,32,1,0,270
rnbqkbn1/p3p2r/2p2ppp/1p1P4/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,d5c6,31,1,0,360
rnbqkbn1/p3p2r/2P2pp1/1p5p/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,c6c7,30,1,0,1105
rnbqkbn1/2P1p2r/5pp1/pp5p/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,c7d8q,30,1,0,1595
rnbQ1bn1/4pk1r/5pp1/pp5p/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,d8d5,29,1,0,2480
rnb1kbn1/4p2r/5pp1/pp1Q3p/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,d5b5,29,0,0,2405
rnbk1bn1/4p2r/5pp1/pQ5p/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,b5b6,28,0,0,2595
rnb1kbn1/4p2r/1Q3pp1/p6p/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,b6b5,28,0,0,2405
rnbk1bn1/4p2r/5pp1/pQ5p/5B2/P2P1Q1N/RPP2PPP/1N2KB1R,b5b6,28,0,0,2595
rnbqkbnr/ppppp1p1/5p1p/8/8/NP5N/PBPPPPPP/R2QKB1R,e2e3,32,1,0,100
rnbqkbnr/pp1pp1p1/2p2p1p/8/8/NP2P2N/PBPP1PPP/R2QKB1R,d1h5,32,1,0,195
rnbqkbnr/pp1pp3/2p2ppp/7Q/8/NP2P2N/PBPP1PPP/R3KB1R,h5g6,32,1,1,9999
rnbqkbnr/p2p2pp/4pp2/1pp5/1P6/P4PP1/2PPP2P/RNBQKBNR,e2e4,32,1,0,25
rnbqkbnr/p2p3p/4ppp1/1pp5/1P2P3/P4PP1/2PP3P/RNBQKBNR,b1c3,32,1,0,90
rnbqkbnr/p2p4/4ppp1/1pp4p/1P2P3/P1N2PP1/2PP3P/R1BQKBNR,g1e2,32,1,0,125
rnbqkbn1/p2p3r/4ppp1/1pp4p/1P2P3/P1N2PP1/2PPN2P/R1BQKB1R,d2d4,32,1,0,170
rnbqkbn1/3p3r/4ppp1/ppp4p/1P1PP3/P1N2PP1/2P1N2P/R1BQKB1R,c1f4,32,1,0,260
1nbqkbn1/r2p3r/4ppp1/ppp4p/1P1PPB2/P1N2PP1/2P1N2P/R2QKB1R,c3b5,32,1,0,555
1nbqk1n1/r2p3r/4pppb/pNp4p/1P1PPB2/P4PP1/2P1N2P/R2QKB1R,f4h6,31,1,0,705
1nbq2n1/r2p1k1r/4pppB/pNp4p/1P1PP3/P4PP1/2P1N2P/R2QKB1R,b5d6,30,1,0,885
1nbq2n1/r2pk2r/3NpppB/p1p4p/1P1PP3/P4PP1/2P1N2P/R2QKB1R,d6b5,30,3,0,705
1nb2qn1/r2pk2r/4pppB/pNp4p/1P1PP3/P4PP1/2P1N2P/R2QKB1R,h6f8,30,3,0,1615
1nb1kBn1/r2p3r/4ppp1/pNp4p/1P1PP3/P4PP1/2P1N2P/R2QKB1R,d4c5,29,0,0,1685
1nbk1Bn1/r2p3r/4ppp1/pNP4p/1P2P3/P4PP1/2P1N2P/R2QKB1R,d1d6,28,0,1,1855
1nb1kBn1/r2p3r/3Qppp1/pNP4p/1P2P3/P4PP1/2P1N2P/R3KB1R,e2d4,28,0,0,1870
1nbk1Bn1/r2p3r/3Qppp1/pNP4p/1P1NP3/P4PP1/2P4P/R3KB1R,d4e6,28,0,1,2155
1nb1kBn1/r2p3r/3QNpp1/pNP4p/1P2P3/P4PP1/2P4P/R3KB1R,e6f4,27,0,0,1965
1nbk1Bn1/r2p3r/3Q1pp1/pNP4p/1P2PN2/P4PP1/2P4P/R3KB1R,d6b6,27,0,1,2185
1nb1kBn1/r2p3r/1Q3pp1/pNP4p/1P2PN2/P4PP1/2P4P/R3KB1R,b5a7,27,0,0,2150
1nb2Bn1/N2p1k1r/1Q3pp1/p1P4p/1P2PN2/P4PP1/2P4P/R3KB1R,b6b8,26,1,0,2420
1Q3Bn1/N2p1k1r/b4pp1/p1P4p/1P2PN2/P4PP1/2P4P/R3KB1R,b4b5,25,1,0,2685
1Q3Bn1/N2p1k2/b4ppr/pPP4p/4PN2/P4PP1/2P4P/R3KB1R,f1c4,25,0,0,2900
1Q3Bn1/N4k2/b4ppr/pPPp3p/2B1PN2/P4PP1/2P4P/R3K2R,c4d5,25,0,1,9999
rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR,f1g2,32,1,0,-25
rnbqkbnr/ppp1p1pp/5p2/3p4/6P1/8/PPPPPPBP/RNBQK1NR,e2e3,32,1,0,80
rnbqkbnr/pp2p1pp/2p2p2/3p4/6P1/4P3/PPPP1PBP/RNBQK1NR,b1c3,32,1,0,160
rnbqkbnr/pp2p2p/2p2pp1/3p4/6P1/2N1P3/PPPP1PBP/R1BQK1NR,d2d4,32,1,0,215
rnbqkbnr/p3p2p/1pp2pp1/3p4/3P2P1/2N1P3/PPP2PBP/R1BQK1NR,g1h3,32,1,0,240
rnbqkbnr/p3p3/1pp2pp1/3p3p/3P2P1/2N1P2N/PPP2PBP/R1BQK2R,g4h5,32,1,0,280
rnbqkbn1/p3p2r/1pp2pp1/3p3P/3P4/2N1P2N/PPP2PBP/R1BQK2R,h5g6,31,1,0,495
rnbqkbn1/4p2r/1pp2pP1/p2p4/3P4/2N1P2N/PPP2PBP/R1BQK2R,e1g1,30,1,0,530
1nbqkbn1/r3p2r/1pp2pP1/p2p4/3P4/2N1P2N/PPP2PBP/R1BQ1RK1,c3b5,30,1,0,595
1nbqk1n1/r3p2r/1pp2pPb/pN1p4/3P4/4P2N/PPP2PBP/R1BQ1RK1,g2d5,30,1,0,695
1nbq2n1/r2kp2r/1pp2pPb/pN1B4/3P4/4P2N/PPP2P1P/R1BQ1RK1,d1g4,29,4,0,1050
1nbqk1n1/r3p2r/1pp2pPb/pN1B4/3P2Q1/4P2N/PPP2P1P/R1B2RK1,d5c6,29,1,0,770
1nb1k1n1/r2qp2r/1pB2pPb/pN6/3P2Q1/4P2N/PPP2P1P/R1B2RK1,b5c7,28,1,0,1185
1nbk2n1/r1Nqp2r/1pB2pPb/p7/3P2Q1/4P2N/PPP2P1P/R1B2RK1,c7e6,28,1,0,1195
1nb1k1n1/r2qp2r/1pB1NpPb/p7/3P2Q1/4P2N/PPP2P1P/R1B2RK1,e6c7,28,1,0,1185
1nbk2n1/r1Nqp2r/1pB2pPb/p7/3P2Q1/4P2N/PPP2P1P/R1B2RK1,c7e6,28,1,0,1195
rnbqkbnr/p1pp1pp1/1p2p2p/8/2P5/NQ6/PP1PPPPP/R1B1KBNR,b3f3,32,1,0,110
rnbqkbnr/p1pp2p1/1p2pp1p/8/2P5/N4Q2/PP1PPPPP/R1B1KBNR,a3b5,32,1,0,165
rnbqkbnr/p2p2p1/1pp1pp1p/1N6/2P5/5Q2/PP1PPPPP/R1B1KBNR,f3h5,32,1,0,170
rnbqkbnr/p2p4/1pp1pppp/1N5Q/2P5/8/PP1PPPPP/R1B1KBNR,h5f3,32,1,1,140
rnbqkbn1/p2p3r/1pp1pppp/1N6/2P5/5Q2/PP1PPPPP/R1B1KBNR,b5d4,32,1,0,165
rnbqkbn1/p2p3r/1pp1ppp1/7p/2PN4/5Q2/PP1PPPPP/R1B1KBNR,e2e4,32,1,0,210
rnbqkbn1/3p3r/1pp1ppp1/p6p/2PNP3/5Q2/PP1P1PPP/R1B1KBNR,g1e2,32,1,0,260
1nbqkbn1/r2p3r/1pp1ppp1/p6p/2PNP3/5Q2/PP1PNPPP/R1B1KB1R,f3f4,32,1,0,295
1nbqk1n1/r2p3r/1pp1pppb/p6p/2PNPQ2/8/PP1PNPPP/R1B1KB1R,f4d6,32,1,0,305
1nbq2n1/r2p1k1r/1ppQpppb/p6p/2PNP3/8/PP1PNPPP/R1B1KB1R,d4e6,32,1,0,560
1nb2qn1/r2p1k1r/1ppQNppb/p6p/2P1P3/8/PP1PNPPP/R1B1KB1R,e6g5,31,2,0,845
1nb1kqn1/r2p3r/1ppQ1ppb/p5Np/2P1P3/8/PP1PNPPP/R1B1KB1R,d6f8,31,1,0,730
1nb1kbn1/r2p3r/1pp2pp1/p5Np/2P1P3/8/PP1PNPPP/R1B1KB1R,g5f3,29,0,0,290
1nb1k1n1/r2p3r/1pp2ppb/p6p/2P1P3/5N2/PP1PNPPP/R1B1KB1R,e2g3,29,0,0,315
1nbk2n1/r2p3r/1pp2ppb/p6p/2P1P3/5NN1/PP1P1PPP/R1B1KB1R,f3d4,29,0,0,340
1nb1k1n1/r2p3r/1pp2ppb/p6p/2PNP3/6N1/PP1P1PPP/R1B1KB1R,f1d3,29,0,0,360
1nbk2n1/r2p3r/1pp2ppb/p6p/2PNP3/3B2N1/PP1P1PPP/R1B1K2R,e1g1,29,0,0,390
1nb1k1n1/r2p3r/1pp2ppb/p6p/2PNP3/3B2N1/PP1P1PPP/R1B2RK1,f1e1,29,0,0,395
1nbk2n1/r2p3r/1pp2ppb/p6p/2PNP3/3B2N1/PP1P1PPP/R1B1R1K1,d3e2,29,0,0,395
1nb1k1n1/r2p3r/1pp2ppb/p6p/2PNP3/6N1/PP1PBPPP/R1B1R1K1,e2f3,29,0,0,395
1nbk2n1/r2p3r/1pp2ppb/p6p/2PNP3/5BN1/PP1P1PPP/R1B1R1K1,g3e2,29,0,0,395
1nb1k1n1/r2p3r/1pp2ppb/p6p/2PNP3/5B2/PP1PNPPP/R1B1R1K1,e2c3,29,0,0,400
1nbk2n1/r2p3r/1pp2ppb/p6p/2PNP3/2N2B2/PP1P1PPP/R1B1R1K1,c3a4,29,0,0,405
1nb1k1n1/r2p3r/1pp2ppb/p6p/N1PNP3/5B2/PP1P1PPP/R1B1R1K1,e1d1,29,0,1,405
1nbk2n1/r2p3r/1pp2ppb/p6p/N1PNP3/5B2/PP1P1PPP/R1BR2K1,d1e1,29,0,0,405
1nb1k1n1/r2p3r/1pp2ppb/p6p/N1PNP3/5B2/PP1P1PPP/R1B1R1K1,e1d1,29,0,1,405
rnbqkbn1/pp1ppp1r/2p4p/6p1/1P4P1/B7/P1PPPP1P/RNQ1KBNR,d2d3,32,1,0,90
rnbqkbn1/pp1pp2r/2p2p1p/6p1/1P4P1/B2P4/P1P1PP1P/RNQ1KBNR,b1c3,32,1,0,170
rnbqkbn1/p2pp2r/1pp2p1p/6p1/1P4P1/B1NP4/P1P1PP1P/R1Q1KBNR,e2e4,32,1,0,225
rnbqkbn1/p2pp2r/1pp2p2/6pp/1P2P1P1/B1NP4/P1P2P1P/R1Q1KBNR,d3d4,32,1,0,185
rnbqkbn1/3pp2r/1pp2p2/p5pp/1P1PP1P1/B1N5/P1P2P1P/R1Q1KBNR,f1c4,32,1,0,295
1nbqkbn1/r2pp2r/1pp2p2/p5pp/1PBPP1P1/B1N5/P1P2P1P/R1Q1K1NR,g4h5,32,1,0,405
1nbqk1n1/r2pp2r/1pp2p1b/p5pP/1PBPP3/B1N5/P1P2P1P/R1Q1K1NR,b4a5,31,1,0,510
1n1qk1n1/r2pp2r/bpp2p1b/P5pP/2BPP3/B1N5/P1P2P1P/R1Q1K1NR,a5b6,30,1,0,700
1nq1k1n1/r2pp2r/bPp2p1b/6pP/2BPP3/B1N5/P1P2P1P/R1Q1K1NR,c4b3,29,1,0,780
1nqk2n1/r2pp2r/bPp2p1b/6pP/3PP3/BBN5/P1P2P1P/R1Q1K1NR,g1f3,29,1,0,830
1nq1k1n1/r2pp2r/bPp2p1b/6pP/3PP3/BBN2N2/P1P2P1P/R1Q1K2R,a3c5,29,1,0,845
1nqk2n1/r2pp2r/bPp2p1b/2B3pP/3PP3/1BN2N2/P1P2P1P/R1Q1K2R,c1a3,29,1,0,905
1nq1k1n1/r2pp2r/bPp2p1b/2B3pP/3PP3/QBN2N2/P1P2P1P/R3K2R,a1d1,29,1,0,910
1nqk2n1/r2pp2r/bPp2p1b/2B3pP/3PP3/QBN2N2/P1P2P1P/3RK2R,e4e5,29,1,0,915
1nq1k1n1/r2pp2r/bPp2p1b/2B1P1pP/3P4/QBN2N2/P1P2P1P/3RK2R,e5f6,29,1,0,1000
1nqk2n1/r2pp2r/bPp2P1b/2B3pP/3P4/QBN2N2/P1P2P1P/3RK2R,f6e7,28,1,0,1135
1nq1k1n1/r2pP2r/bPp4b/2B3pP/3P4/QBN2N2/P1P2P1P/3RK2R,f3e5,27,1,0,1120
1nq1kbn1/r2pP2r/bPp5/2B1N1pP/3P4/QBN5/P1P2P1P/3RK2R,e7f8q,27,1,0,9999
rnbqkbnr/1ppppppp/8/p7/8/P7/1PPPPPPP/RNBQKBNR,e2e3,32,1,0,25
rnbqkbnr/1pppp1pp/5p2/p7/8/P3P3/1PPP1PPP/RNBQKBNR,d1h5,32,1,0,160
rnbqkbnr/1pppp2p/5pp1/p6Q/8/P3P3/1PPP1PPP/RNB1KBNR,h5d5,32,1,1,155
rnbqkbnr/1p1pp2p/2p2pp1/p2Q4/8/P3P3/1PPP1PPP/RNB1KBNR,d5c4,32,1,0,170
rnbqkbnr/3pp2p/1pp2pp1/p7/2Q5/P3P3/1PPP1PPP/RNB1KBNR,g1f3,32,1,0,235
1nbqkbnr/r2pp2p/1pp2pp1/p7/2Q5/P3PN2/1PPP1PPP/RNB1KB1R,b1c3,32,1,0,290
1nbqkbnr/r2pp3/1pp2pp1/p6p/2Q5/P1N1PN2/1PPP1PPP/R1B1KB1R,d2d4,32,1,0,335
1nbqkbn1/r2pp2r/1pp2pp1/p6p/2QP4/P1N1PN2/1PP2PPP/R1B1KB1R,f1d3,32,1,0,360
1nbqk1n1/r2pp2r/1pp2ppb/p6p/2QP4/P1NBPN2/1PP2PPP/R1B1K2R,c4g8,32,1,0,1040
1nbqkbQ1/r2pp2r/1pp2pp1/p6p/3P4/P1NBPN2/1PP2PPP/R1B1K2R,g8g6,31,1,0,1145
1nbqkb2/r2ppr2/1pp2pQ1/p6p/3P4/P1NBPN2/1PP2PPP/R1B1K2R,e1g1,30,1,0,1135
1nbqk3/r2ppr2/1pp2pQb/p6p/3P4/P1NBPN2/1PP2PPP/R1B2RK1,g6g8,30,1,0,1165
1nbqkrQ1/r2pp3/1pp2p1b/p6p/3P4/P1NBPN2/1PP2PPP/R1B2RK1,d3g6,30,2,0,9999
rnb1kbnr/pppp1p2/4pq2/6pp/P3N2P/8/1PPPPPP1/R1BQKBNR,e4f6,32,0,0,655
rnbk1bnr/pppp1p2/4pN2/6pp/P6P/8/1PPPPPP1/R1BQKBNR,h4g5,31,0,0,1000
rnbk1bnr/pp1p1p2/2p1pN2/6Pp/P7/8/1PPPPPP1/R1BQKBNR,f6h5,30,0,0,1120
rnbk1bnr/pp1p4/2p1pp2/6PN/P7/8/1PPPPPP1/R1BQKBNR,g5f6,29,0,0,1250
rnbk1bnr/p2p4/1pp1pP2/7N/P7/8/1PPPPPP1/R1BQKBNR,e2e4,28,0,0,1325
rnbk1bn1/p2p3r/1pp1pP2/7N/P3P3/8/1PPP1PP1/R1BQKBNR,f1c4,28,0,0,1400
rnbk1bn1/3p3r/1pp1pP2/p6N/P1B1P3/8/1PPP1PP1/R1BQK1NR,g1f3,28,0,0,1455
1nbk1bn1/r2p3r/1pp1pP2/p6N/P1B1P3/5N2/1PPP1PP1/R1BQK2R,f3g5,28,0,0,1480
1nbk2n1/r2p3r/1pp1pP1b/p5NN/P1B1P3/8/1PPP1PP1/R1BQK2R,f6f7,28,0,0,1745
1nb3n1/r2pkP1r/1pp1p2b/p5NN/P1B1P3/8/1PPP1PP1/R1BQK2R,f7g8n,28,1,0,2255
1nb3N1/r2p3r/1ppkp2b/p5NN/P1B1P3/8/1PPP1PP1/R1BQK2R,e4e5,27,0,1,2185
1nb3N1/r2p3r/1pp1p2b/p1k1P1NN/P1B5/8/1PPP1PP1/R1BQK2R,h5f4,27,1,0,2015
1nb3N1/r2p3r/1pp1p2b/p3P1N1/P1Bk1N2/8/1PPP1PP1/R1BQK2R,h1h6,27,0,1,2240
1n4N1/r2p3r/bpp1p2R/p3P1N1/P1Bk1N2/8/1PPP1PP1/R1BQK3,c4a6,26,0,1,2540
1n4Nr/r2p4/Bpp1p2R/p3P1N1/P2k1N2/8/1PPP1PP1/R1BQK3,g5f3,25,0,1,3015
1n4Nr/r2p4/Bpp1p2R/p3P3/P3kN2/5N2/1PPP1PP1/R1BQK3,d2d3,25,0,0,3035
1n4Nr/r2p4/Bpp1p2R/p3Pk2/P4N2/3P1N2/1PP2PP1/R1BQK3,g8e7,25,1,0,3085
1n5r/r2pN3/Bpp1p2R/p3P3/P4Nk1/3P1N2/1PP2PP1/R1BQK3,h6g6,25,0,0,9999
rnbqkbnr/p2p3p/2p3p1/1p2pp2/8/1Q1P1P2/PPP1P1PP/RNB1KBNR,b1c3,32,1,0,75
rnbqkbnr/p2p4/2p3p1/1p2pp1p/8/1QNP1P2/PPP1P1PP/R1B1KBNR,e1d1,32,1,0,125
rnbqkbn1/p2p3r/2p3p1/1p2pp1p/8/1QNP1P2/PPP1P1PP/R1BK1BNR,f3f4,32,1,0,190
rnbqkbn1/3p3r/2p3p1/pp2pp1p/5P2/1QNP4/PPP1P1PP/R1BK1BNR,f4e5,32,1,0,295
1nbqkbn1/r2p3r/2p3p1/pp2Pp1p/8/1QNP4/PPP1P1PP/R1BK1BNR,c1e3,31,1,0,525
1nbqk1n1/r2p3r/2p3pb/pp2Pp1p/8/1QNPB3/PPP1P1PP/R2K1BNR,b3g8,31,1,0,1030
1nbq2Q1/r2pk2r/2p3pb/pp2Pp1p/8/2NPB3/PPP1P1PP/R2K1BNR,e3c5,30,2,0,1410
1nbq2Q1/r3k2r/2pp2pb/ppB1Pp1p/8/2NP4/PPP1P1PP/R2K1BNR,e5d6,30,3,1,1385
